"country","EducationalIndex2021","EducationalIndex2019","EducationalIndex2018","EducationalIndex2017"
"India",0.554,0.555,0.553,0.558
"China",0.648,0.66,0.859,0.787
"United States",0.909,0.9,0.899,0.899
"Indonesia",0.667,0.65,0.642,0.637
"Pakistan",0.392,0.402,0.392,0.392
"Nigeria",0.521,0.499,0.488,0.484
"Brazil",0.703,0.694,0.689,0.689
"Bangladesh",0.591,0.529,0.524,0.513
"Russia",0.866,0.823,0.823,0.823
"Ethiopia",0.376,0.341,0.335,0.332
"Mexico",0.721,0.703,0.694,0.681
"Japan",0.869,0.851,0.85,0.848
"Philippines",0.664,0.678,0.667,0.665
"Egypt",0.703,0.618,0.609,0.605
"DR Congo",0.506,0.496,0.494,0.493
"Iran",0.759,0.756,0.75,0.749
"Turkey",0.795,0.731,0.727,0.722
"Germany",0.942,0.943,0.943,0.94
"Thailand",0.732,0.682,0.675,0.665
"Tanzania",0.469,0.429,0.425,0.431
"United Kingdom",0.927,0.948,0.938,0.933
"France",0.826,0.817,0.812,0.811
"South Africa",0.758,0.724,0.721,0.718
"Italy",0.807,0.793,0.791,0.785
"Kenya",0.521,0.534,0.536,0.536
"Myanmar",0.516,0.464,0.458,0.452
"Colombia",0.697,0.682,0.678,0.678
"South Korea",0.875,0.865,0.865,0.865
"Uganda",0.471,0.523,0.515,0.507
"Sudan",0.346,0.345,0.339,0.337
"Spain",0.851,0.831,0.838,0.836
"Iraq",0.599,0.557,0.554,0.542
"Algeria",0.676,0.672,0.668,0.665
"Argentina",0.867,0.855,0.842,0.842
"Afghanistan",0.386,0.414,0.413,0.408
"Poland",0.884,0.869,0.866,0.866
"Canada",0.916,0.894,0.893,0.889
"Morocco",0.591,0.569,0.559,0.547
"Ukraine",0.787,0.799,0.792,0.794
"Angola",0.519,0.5,0.5,0.498
"Saudi Arabia",0.824,0.789,0.789,0.784
"Uzbekistan",0.744,0.729,0.726,0.724
"Yemen",0.359,0.36,0.347,0.341
"Mozambique",0.39,0.395,0.389,0.385
"Ghana",0.61,0.563,0.558,0.555
"Peru",0.758,0.74,0.728,0.721
"Malaysia",0.723,0.726,0.719,0.724
"Nepal",0.528,0.521,0.516,0.507
"Madagascar",0.451,0.486,0.489,0.494
"Ivory Coast",0.471,0.453,0.45,0.436
"Venezuela",0.726,0.7,0.7,0.7
"Cameroon",0.571,0.547,0.546,0.543
"Niger",0.264,0.249,0.247,0.245
"Australia",1.009,0.924,0.923,0.923
"Syria",0.426,0.416,0.416,0.416
"Mali",0.282,0.286,0.286,0.282
"Burkina Faso",0.323,0.312,0.3,0.298
"Sri Lanka",0.752,0.746,0.741,0.736
"Malawi",0.503,0.47,0.463,0.455
"Zambia",0.543,0.557,0.553,0.549
"Kazakhstan",0.849,0.84,0.822,0.817
"Chile",0.827,0.81,0.805,0.804
"Romania",0.771,0.765,0.762,0.764
"Chad",0.309,0.288,0.29,0.288
"Ecuador",0.699,0.702,0.709,0.707
"Guatemala",0.484,0.519,0.511,0.511
"Senegal",0.347,0.345,0.356,0.354
"Netherlands",0.939,0.914,0.912,0.909
"Cambodia",0.489,0.484,0.476,0.476
"Zimbabwe",0.626,0.587,0.57,0.568
"Guinea",0.346,0.354,0.35,0.348
"Rwanda",0.458,0.458,0.462,0.462
"Benin",0.443,0.478,0.476,0.472
"Burundi",0.401,0.417,0.412,0.422
"Bolivia",0.741,0.695,0.69,0.686
"Tunisia",0.674,0.661,0.659,0.653
"Haiti",0.456,0.456,0.45,0.445
"Belgium",0.958,0.902,0.9,0.9
"Dominican Republic",0.713,0.666,0.66,0.657
"Jordan",0.641,0.667,0.664,0.662
"South Sudan",0.343,0.307,0.309,0.309
"Cuba",0.817,0.79,0.783,0.776
"Honduras",0.517,0.499,0.499,0.496
"Sweden",0.959,0.918,0.914,0.914
"Papua New Guinea",0.446,0.439,0.432,0.43
"Czech Republic",0.88,0.89,0.89,0.89
"Azerbaijan",0.725,0.711,0.711,0.713
"Tajikistan",0.702,0.682,0.673,0.67
"Greece",0.936,0.849,0.833,0.833
"Portugal",0.789,0.768,0.763,0.763
"Hungary",0.823,0.821,0.819,0.816
"United Arab Emirates",0.859,0.802,0.802,0.783
"Belarus",0.826,0.838,0.843,0.842
"Israel",0.891,0.883,0.881,0.879
"Togo",0.528,0.517,0.51,0.507
"Sierra Leone",0.42,0.406,0.403,0.399
"Austria",0.854,0.865,0.866,0.865
"Switzerland",0.922,0.9,0.9,0.888
"Laos",0.461,0.481,0.479,0.483
"Hong Kong",0.887,0.88,0.871,0.863
"Nicaragua",0.587,0.573,0.566,0.566
"Serbia",0.78,0.783,0.783,0.778
"Libya",0.612,0.61,0.607,0.607
"Paraguay",0.658,0.638,0.635,0.634
"Kyrgyzstan",0.747,0.73,0.723,0.724
"Bulgaria",0.766,0.779,0.779,0.785
"Turkmenistan",0.743,0.653,0.645,0.628
"El Salvador",0.593,0.555,0.553,0.562
"Republic of the Congo",0.548,0.543,0.539,0.539
"Singapore",0.855,0.924,0.921,0.913
"Denmark",0.953,0.92,0.921,0.919
"Central African Republic",0.366,0.353,0.353,0.352
"Slovakia",0.833,0.826,0.824,0.824
"Finland",0.961,0.927,0.927,0.926
"Liberia",0.459,0.426,0.422,0.422
"Norway",0.939,0.93,0.928,0.926
"Palestine",0.702,0.678,0.676,0.675
"New Zealand",0.994,0.926,0.923,0.923
"Costa Rica",0.752,0.726,0.724,0.717
"Lebanon",0.604,0.604,0.604,0.604
"Ireland",0.912,0.922,0.918,0.918
"Mauritania",0.424,0.396,0.392,0.389
"Oman",0.796,0.718,0.718,0.731
"Panama",0.714,0.7,0.697,0.697
"Kuwait",0.668,0.638,0.638,0.635
"Croatia",0.826,0.805,0.803,0.802
"Eritrea",0.388,0.269,0.269,0.269
"Georgia",0.86,0.862,0.851,0.845
"Mongolia",0.73,0.736,0.734,0.733
"Uruguay",0.767,0.765,0.763,0.759
"Moldova",0.793,0.711,0.708,0.708
"Bosnia and Herzegovina",0.733,0.711,0.71,0.708
"Gambia",0.414,0.406,0.39,0.381
"Albania",0.777,0.746,0.743,0.747
"Jamaica",0.679,0.689,0.691,0.692
"Armenia",0.741,0.74,0.74,0.739
"Qatar",0.683,0.659,0.653,0.662
"Botswana",0.685,0.676,0.666,0.664
"Lithuania",0.903,0.898,0.89,0.89
"Namibia",0.571,0.584,0.582,0.581
"Gabon",0.674,0.65,0.639,0.633
"Lesotho",0.533,0.532,0.528,0.525
"Guinea-Bissau",0.414,0.414,0.402,0.402
"Slovenia",0.918,0.91,0.899,0.893
"North Macedonia",0.718,0.704,0.702,0.697
"Latvia",0.893,0.883,0.883,0.876
"Equatorial Guinea",0.466,0.467,0.441,0.441
"Trinidad and Tobago",0.789,0.728,0.728,0.728
"Bahrain",0.819,0.769,0.765,0.77
"Timor-Leste",0.53,0.51,0.496,0.496
"Estonia",0.892,0.882,0.882,0.881
"Mauritius",0.769,0.736,0.733,0.73
"Cyprus",0.847,0.827,0.827,0.813
"Eswatini",0.567,0.557,0.553,0.545
"Djibouti",0.342,0.325,0.322,0.316
"Fiji",0.772,0.764,0.764,0.762
"Comoros",0.501,0.482,0.479,0.476
"Guyana",0.634,0.601,0.602,0.601
"Bhutan",0.54,0.496,0.494,0.491
"Solomon Islands",0.476,0.474,0.469,0.469
"Luxembourg",0.833,0.806,0.802,0.802
"Suriname",0.688,0.675,0.661,0.661
"Montenegro",0.826,0.803,0.801,0.796
"Cape Verde",0.56,0.562,0.566,0.565
"Malta",0.873,0.825,0.824,0.816
"Maldives",0.593,0.573,0.564,0.564
"Brunei",0.696,0.702,0.703,0.704
"Belize",0.654,0.695,0.691,0.691
"Bahamas",0.778,0.74,0.737,0.736
"Iceland",0.993,0.926,0.918,0.912
"Vanuatu",0.556,0.561,0.545,0.542
"Barbados",0.766,0.782,0.773,0.773
"Sao Tome and Principe",0.579,0.567,0.567,0.557
"Samoa",0.724,0.713,0.701,0.701
"Saint Lucia",0.642,0.672,0.673,0.681
"Kiribati",0.594,0.594,0.59,0.59
"Grenada",0.819,0.77,0.755,0.75
"Tonga",0.824,0.775,0.771,0.77
"Seychelles",0.729,0.726,0.715,0.718
"Saint Vincent and the Grenadines",0.768,0.684,0.68,0.679
"Antigua and Barbuda",0.704,0.665,0.656,0.655
"Andorra",0.723,0.72,0.72,0.713
"Dominica",0.639,0.632,0.63,0.629
"Saint Kitts and Nevis",0.718,0.673,0.661,0.658
"Marshall Islands",0.647,0.707,0.707,0.707
"Liechtenstein",0.839,0.832,0.832,0.827
"San Marino",0.702,,,
"Palau",0.856,0.855,0.848,0.853
"Tuvalu",0.614,,,