"country","MurderRate_TotalHomicideCountIn2022","murderRate_Per100KTotal2022","MurderRate_HomicideCount_FemaleIn2022","MurderRate_HomicideCount_MaleIn2022","murderRate_Per100K_Female_2022","murderRate_Per100K_Male_2022","shareofHomicides2022"
"United States",21593,6.38,4707,16886,2.76,10.08,19.06632995443789
"Pakistan",9937,4.21,,,,,8.774237982552185
"Mexico",33287,26.11,3928,28745,6.01,46.22,29.391975417652667
"Turkey",2279,2.67,466,1813,1.09,4.24,2.012326493130364
"South Africa",,,,,,0.53,
"Italy",322,0.55,126,196,0.42,0.68,0.2843216896831844
"Kenya",2643,4.89,725,1918,2.66,7.16,2.3337336205983115
"Myanmar",2098,3.87,311,1787,1.14,6.63,1.8525059160103132
"Colombia",13166,25.38,1002,12164,3.81,47.56,11.625401758909334
"South Korea",275,0.53,137,137,0.53,,0.24282131882880656
"Spain",325,0.68,121,204,0.5,0.88,0.2869706495249532
"Algeria",795,1.77,112,683,0.51,2.99,0.7019743580687317
"Argentina",1961,4.31,347,1614,1.51,7.16,1.7315367499028715
"Poland",270,0.68,91,178,0.44,0.92,0.2384063857591919
"Canada",874,2.27,203,661,1.05,3.46,0.7717303005686434
"Morocco",618,1.65,78,540,0.42,2.86,0.5456857274043725
"Australia",218,0.83,67,154,0.51,1.18,0.19249108183519936
"Chile",1322,6.74,146,1176,1.48,12.09,1.1673083036061174
"Romania",247,1.26,85,162,0.84,1.7,0.21809769363896445
"Ecuador",4859,26.99,419,4423,4.65,49.23,4.290431957051531
"Netherlands",142,0.81,48,94,0.54,1.08,0.12538409917705648
"Zimbabwe",1086,6.65,200,886,2.32,11.5,0.9589234627203052
"Bolivia",485,3.97,166,285,2.72,4.65,0.4282485077526225
"Haiti",2088,18.02,181,1907,3.1,33.23,1.843676049871084
"Dominican Republic",1389,12.37,153,1236,2.73,21.94,1.2264684067389537
"Jordan",126,1.12,38,88,0.7,1.51,0.11125631335428955
"Honduras",3661,35.09,,,,,3.2326139935718574
"Sweden",116,1.1,23,93,0.44,1.75,0.10242644721506022
"Czech Republic",87,0.83,39,48,0.73,0.93,0.07681983541129517
"Greece",117,1.13,45,72,0.85,1.42,0.10330943382898315
"Hungary",94,0.94,44,50,0.85,1.04,0.0830007417087557
"Israel",147,1.63,24,123,0.53,2.73,0.12979903224667114
"Austria",79,0.88,41,38,0.9,0.86,0.0697559424999117
"Switzerland",43,0.49,20,23,0.45,0.53,0.03796842439868612
"Hong Kong",30,0.4,13,17,0.32,0.49,0.026489598417687988
"Serbia",74,1.02,20,54,0.53,1.56,0.06534100943029704
"Paraguay",472,6.96,,,,,0.4167696817716243
"Bulgaria",76,1.12,29,47,0.83,1.43,0.0671069826581429
"El Salvador",496,7.83,71,425,2.14,14.09,0.4379613605057747
"Singapore",7,0.12,2,5,0.07,0.16,0.006180906297460531
"Denmark",58,0.99,23,35,0.78,1.2,0.05121322360753011
"Slovakia",42,0.74,17,21,0.59,0.76,0.037085437784763184
"Finland",67,1.21,,,,,0.0591601031328365
"Norway",30,0.55,14,16,0.52,0.58,0.026489598417687988
"Palestine",74,1.41,7,67,0.27,2.56,0.06534100943029704
"Costa Rica",664,12.82,,,,,0.5863031116448275
"Ireland",44,0.88,10,34,0.39,1.37,0.03885141101260905
"Oman",12,0.26,5,7,0.28,0.25,0.010595839367075196
"Panama",499,11.32,41,458,1.86,20.78,0.4406103203475435
"Croatia",31,0.77,14,17,0.68,0.87,0.02737258503161092
"Uruguay",383,11.19,48,335,2.72,20.2,0.3381838731324833
"Puerto Rico",572,17.59,53,519,3.08,33.83,0.5050683431639176
"Bosnia and Herzegovina",35,1.08,12,22,0.73,1.38,0.03090453148730265
"Albania",47,1.65,1,46,0.07,3.24,0.04150037085437785
"Jamaica",1508,53.34,124,1384,8.7,98.69,1.331543813795783
"Lithuania",67,2.44,29,38,1.99,2.94,0.0591601031328365
"Slovenia",13,0.61,5,8,0.47,0.75,0.011478825980998128
"North Macedonia",18,0.86,3,15,0.29,1.44,0.015893759050612792
"Latvia",67,3.62,40,26,4.03,3.03,0.0591601031328365
"Trinidad and Tobago",605,39.52,,,,,0.5342069014233743
"Mauritius",29,2.23,10,19,1.52,2.97,0.025606611803765056
"Cyprus",8,0.64,4,4,0.64,0.64,0.007063892911383464
"Macau",2,0.29,2,0,0.54,0,0.001765973227845866
"Luxembourg",10,1.54,,,,,0.00882986613922933
"Suriname",45,7.28,10,35,3.22,11.38,0.039734397626531984
"Montenegro",16,2.55,6,10,1.86,3.27,0.014127785822766928
"Belize",113,27.88,9,104,4.47,51.04,0.09977748737329142
"Bahamas",128,31.22,10,118,4.67,60.26,0.11302228658213542
"Barbados",43,15.27,2,41,1.36,30.35,0.03796842439868612
"Saint Lucia",66,36.7,9,57,9.9,64.08,0.058277116518913576
"Saint Vincent and the Grenadines",42,40.41,5,37,9.8,69.91,0.037085437784763184
"Antigua and Barbuda",10,10.67,1,9,2.04,20.1,0.00882986613922933
"Total",,,,,,,100.00000000000006